step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-1.0005808668370921,-2.420781,3.4126453,0.5009769,1.0,0.0,0.0,0.0,0.0,0.0,-0.09377357,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.025371,-4.91855,-0.8907169,-21.700294
10,-1.0011695092049102,-2.420781,3.4126453,0.50439465,1.0,0.0,0.0,0.0,0.0,0.0,-0.21088687,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.4416847,-4.9872947,-0.9832481,-35.60967
15,-1.0017741372522995,-2.420781,3.4126453,0.51025057,1.0,0.0,0.0,0.0,0.0,0.0,-0.32786375,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.0481517,-4.868615,-0.9626814,-36.126823
20,-1.0024029051956642,-2.420781,3.4126453,0.5185416,1.0,0.0,0.0,0.0,0.0,0.0,-0.4446816,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5545893,-4.987222,-0.9625084,-9.494595
25,-1.0030638941022776,-2.420781,3.4126453,0.52926403,1.0,0.0,0.0,0.0,0.0,0.0,-0.5613179,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.7359657,-4.967431,-0.8924368,35.92531
30,-1.003760366103096,-2.420781,3.4126453,0.54241395,1.0,0.0,0.0,0.0,0.0,0.0,-0.67775035,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0576291,-4.9813647,-0.79912055,-1.8344269
35,-1.0069864088820772,-2.420781,3.4126453,0.557929,0.99999994,0.00015982712,-0.00015982111,-0.00014627672,-1.8522923e-06,-1.8528177e-06,-0.7899237,0.025568321,-0.025566401,-0.041694406,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5171909,-4.923126,-0.3810622,-30.444881
40,-1.0286604394097494,-2.4207814,3.4126477,0.57424486,0.9999933,0.0026618338,0.001812982,0.0017346638,7.514235e-05,-0.00024922987,-0.78668123,0.32597286,0.2757231,0.23057874,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.9613295,-4.97446,-0.47084254,-2.9139214
45,-1.0567005113889711,-2.4207928,3.4126709,0.590316,0.99995524,0.009357918,0.0013915907,0.00013828167,0.0009898132,-0.0020617696,-0.75549394,0.890142,-0.28419438,-0.45896006,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.360035,-3.9734502,-0.95875263,-27.45545
50,-1.05743284692469,-2.420816,3.4127352,0.60750663,0.9998148,0.018616345,-0.0016403408,-0.004597148,0.001122783,-0.0040063336,-0.87156,0.8870929,-0.28829888,-0.45829964,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.2905998,-3.6606634,-0.8133515,-33.39747
55,-1.0766747988607912,-2.4208338,3.4128802,0.62659127,0.9995059,0.029682225,-0.0042229914,-0.009443158,0.0005933659,-0.009237964,-0.94765943,1.1863464,-0.3650567,-0.66690356,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.420705,0.77340555,-0.6470832,-40.426147
60,-1.0833898418857149,-2.4208252,3.4132125,0.6465098,0.9989005,0.042451065,-0.0071798195,-0.018551154,-0.0010608549,-0.019763134,-0.98111004,1.2650421,-0.2289457,-0.82277596,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0320153,3.7624264,-0.86393464,-38.96062
65,-1.0810477291887868,-2.4207773,3.413762,0.66787446,0.99806255,0.055794362,-0.008850315,-0.026073856,-0.0030444236,-0.03033208,-1.0643089,1.2794878,-0.16441494,-0.67886966,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9470522,2.9698067,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.0730755,3.5984125,-0.9652784,-18.627888
70,-1.0745958020746613,-2.4206245,3.4148712,0.6884525,0.997084,0.06803736,-0.011044382,-0.03274807,-0.011504676,-0.07526299,-0.8876725,1.1409975,-0.20399128,-0.6450082,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6908102,2.4548492,2.3217943,2.2677839,2.2840512,2.3731825,2.5501854,2.8492708,3.0,3.0,3.0,3.0,3.0,4.182461,4.978117,0.436162,-27.345041
75,-1.0747500047955152,-2.420231,3.4172187,0.70381474,0.99593824,0.07985103,-0.013279128,-0.039426744,-0.024169903,-0.13901834,-0.6374838,1.136602,-0.21173005,-0.6450089,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5026348,2.184277,1.9914554,1.8824741,1.8377434,1.8499957,1.9211783,2.0632577,2.3036137,2.7002163,3.0,3.0,3.0,3.0,4.6962967,4.9926195,0.9807502,-37.29538
80,-1.075116250034298,-2.419538,3.421025,0.71399176,0.9946058,0.091606155,-0.015592805,-0.046092167,-0.039730523,-0.21323371,-0.38947195,1.1320634,-0.21934398,-0.64520645,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5678763,2.1131475,1.8428092,1.679025,1.5862412,1.5477396,1.5572579,1.6163086,1.7348028,1.9355077,2.2666082,2.8384087,3.0,3.0,3.0,4.713814,4.9735203,0.9903282,21.298264
85,-1.0739164131148111,-2.4184828,3.4265065,0.71903485,0.9930985,0.10319182,-0.01785716,-0.052801363,-0.058350414,-0.2976056,-0.14469717,1.0835984,-0.16692784,-0.66533476,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9942818,2.2531068,1.8511398,1.6124613,1.4678068,1.3856046,1.3509936,1.3583362,1.4087985,1.5108318,1.6839604,1.9694891,2.4616838,3.0,3.0,3.0,4.6039314,4.994334,0.99945664,-16.35585
90,-1.0627811210429845,-2.4170132,3.433827,0.7192077,0.9919123,0.10972538,-0.015081275,-0.06199092,-0.078618586,-0.387726,0.0799438,0.30944183,0.44283682,-0.8875086,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.2662494,1.8278484,1.5715812,1.4160724,1.3252081,1.2819029,1.2789695,1.3159425,1.3988866,1.543028,1.7806045,2.1830554,2.935808,3.0,3.0,3.0770912,4.9831953,0.9978297,20.704979
95,-1.0772959408649534,-2.41517,3.4429495,0.71533805,0.9914154,0.10737923,-0.0074036126,-0.0742321,-0.0944481,-0.47125137,0.25571525,-0.52043223,0.7475997,-0.9332361,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6876657,2.0839255,1.7449671,1.5411237,1.4185166,1.3520337,1.330109,1.3492254,1.4124413,1.530667,1.7277858,2.0548434,2.6333253,3.0,3.0,0.8085489,4.757533,0.99377763,-12.718998
100,-1.0881155896553607,-2.4130678,3.4537094,0.70815337,0.9922158,0.09594044,-0.002501213,-0.07935302,-0.10470919,-0.5459377,0.40511262,-1.4246491,0.43677458,-0.120788954,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5428398,2.0913055,1.822987,1.6604042,1.568194,1.529721,1.5387244,1.5966346,1.7131634,1.9106661,2.2364495,2.798683,3.0,3.0,0.6928539,4.47797,0.9944248,30.260384
105,-1.1000279571138545,-2.410796,3.4659503,0.6976902,0.9940051,0.078337446,-0.0020369429,-0.07624292,-0.11100934,-0.60750747,0.5314293,-1.6393144,-0.04783166,0.48323208,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6411142,2.3043299,2.1003225,1.9849046,1.937309,1.9497988,2.024359,2.1735153,2.4259748,2.8425078,3.0,3.0,3.0,-2.7304068,-1.5619988,-0.65014684,41.679047
110,-1.1009073583702482,-2.4084606,3.4788299,0.68766683,0.99560076,0.06120384,-0.0037224703,-0.0708471,-0.112712406,-0.62402487,0.44177318,-1.6307847,-0.05580604,0.4886846,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9641967,2.7257948,2.5958896,2.5518117,2.5864825,2.705444,2.9291685,3.0,3.0,3.0,3.0,3.0,-1.619689,-4.87837,-0.8977593,19.515686
115,-1.1016990662451764,-2.4060972,3.4919481,0.6799442,0.99684,0.044369627,-0.0052503655,-0.065679684,-0.113947086,-0.6330723,0.32336125,-1.6270775,-0.065229274,0.48654917,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.3166885,-4.9485617,0.27020133,40.32041
120,-1.0960116988169517,-2.4036798,3.5053763,0.67293996,0.99791044,0.030843973,-0.0041786386,-0.056620903,-0.1169522,-0.6492804,0.32087132,-1.148785,0.25066313,1.0433362,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.3478606,-4.968033,-0.19255745,35.994186
125,-1.0828241734167396,-2.4012213,3.5190163,0.6667454,0.99865925,0.020153897,-0.0034320175,-0.047558155,-0.118441366,-0.65687823,0.26201186,-0.9945946,0.06387193,0.82685906,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.951314,-4.765355,-0.83734834,-17.77084
130,-1.0752689478766253,-2.3987455,3.5327342,0.66266835,0.9991642,0.010317503,-0.0026719377,-0.03946237,-0.119089216,-0.6593964,0.15508665,-0.8673616,0.16477814,0.7018136,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.8645477,-4.841717,-0.38061845,-0.5742378
135,-1.0618338534021599,-2.396259,3.5464835,0.6606283,0.99946564,0.0016064236,-0.0016659431,-0.032605607,-0.119660616,-0.6605728,0.10415586,-0.6990945,-0.031285025,0.48475462,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.4671216,-4.7921057,-0.42361236,30.791214
140,-1.0625150178483693,-2.3937645,3.5602362,0.6599253,0.99960196,-0.0056442353,-0.002244652,-0.027549576,-0.11980424,-0.6596688,-0.013173218,-0.6978266,-0.03512216,0.48401865,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.093195,-4.844034,-0.70917594,-25.375551
145,-1.0556322241453304,-2.3912654,3.573952,0.66151273,0.9996511,-0.012414679,-0.003352239,-0.023072613,-0.12009892,-0.6571934,-0.11211474,-0.58743644,-0.16035873,0.34714293,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6800528,-4.926687,-0.38382828,26.178284
150,-1.058315543985788,-2.3887553,3.5875912,0.6649094,0.9996649,-0.017616775,-0.004384207,-0.0184537,-0.121133015,-0.6515075,-0.1538005,-0.2928025,0.12041364,0.68315876,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.001045,-4.946194,-0.72411746,-20.175785
155,-1.0583113912728266,-2.3862252,3.601114,0.66957664,0.99971706,-0.02065891,-0.0033270472,-0.011309901,-0.12163329,-0.6474117,-0.27082622,-0.29311323,0.11796801,0.68224204,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.299481,-4.8918796,0.62133884,-40.22897
