step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-0.2854174055596611,0.19206595,-0.022557205,0.8978864,1.0,0.0,0.0,0.0,0.0,0.0,0.2028851,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.890505,0.9887128,0.9321053,-43.41036
10,-0.20176433337216587,0.19206595,-0.022557205,0.890508,0.9999998,-0.0004208415,0.00042086208,-0.00024589512,9.035019e-22,-2.0328792e-21,0.45257965,-0.19511737,0.19512722,-0.114042655,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.7220097,-1.0242531,0.8654754,-39.428123
15,0.08569861912780216,0.19205616,-0.022559393,0.8781872,0.9999687,0.0013123195,0.0077398294,0.0009588145,0.0012914324,0.00010796966,0.67854655,0.29270384,1.047307,0.22450937,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.362033,-3.1478333,0.97344613,-13.092958
20,0.025706506625352593,0.19194706,-0.022544798,0.86180747,0.99968857,0.009013217,0.022007257,0.0075601256,0.008791148,-0.0016847732,0.83932,0.8088527,1.2455565,0.59888905,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9300067,2.9095333,2.9792385,4.310938,0.90209866,0.9557624,-21.56172
25,-0.09753404057735832,0.19157201,-0.022433389,0.842678,0.9992512,0.014803983,0.03470518,0.008571111,0.024421653,-0.008050083,0.9538282,0.30485576,1.1020303,0.012909714,2.2765775,2.504572,2.880581,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.592241,2.329338,2.1748486,2.0993984,2.0903938,2.146405,-3.264512,3.9579926,0.92389536,-36.64808
30,-0.09405220069056391,0.1908501,-0.02217885,0.82237977,0.9988924,0.014727243,0.04251679,0.013762272,0.04330962,-0.01553806,1.0039687,-0.005961397,0.6948767,0.859209,2.101168,2.2790082,2.5752177,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5831697,2.2838478,2.1039798,2.006902,1.9757723,2.0056021,-3.0859256,0.23472881,0.9561157,-37.738087
35,-0.13545721703985486,0.18966018,-0.021762032,0.80069226,0.9986278,0.013303459,0.04707301,0.018700564,0.067360885,-0.023091415,1.073505,-0.20410667,0.54378253,0.35091716,2.1311944,2.286193,2.5490313,2.9825518,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7955363,2.4360535,2.2182095,2.0945463,2.0427334,2.0543349,1.9925375,1.227612,0.9626696,-44.537975
40,-0.06953845475555459,0.18799078,-0.021213409,0.77810323,0.9983716,0.010311707,0.051734168,0.021712625,0.08807166,-0.02803036,1.0817953,-0.079928234,0.200778,0.1779386,2.1574366,2.27998,2.497746,2.8574953,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.654086,2.3740351,2.2081327,2.1242309,2.108183,3.3074884,0.4882474,0.9231403,-38.958992
45,-0.09932295869395402,0.18588422,-0.020582965,0.7555281,0.998283,0.00720672,0.054937128,0.018999157,0.10898949,-0.031463973,1.0754968,-0.36333877,0.26774436,-0.52207875,2.2344208,2.3307793,2.5157065,2.8257663,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.947219,2.5896084,2.3737104,2.2542648,2.210203,2.6637878,0.17824268,0.83084583,-40.932957
50,0.18403043887167025,0.18329902,-0.019894373,0.7328481,0.9981475,0.0034153326,0.05917887,0.013703702,0.13278046,-0.033747602,1.083166,-0.25278506,0.39575663,-0.38673708,2.263138,2.327392,2.4727292,2.7257643,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7871077,2.5096502,2.3472974,2.26944,0.07005119,1.997364,0.9117168,-12.856224
55,0.15571683372660544,0.18032524,-0.019183166,0.71108395,0.99810815,-5.1007653e-05,0.060979992,0.00784807,0.14819881,-0.034221683,1.0081638,-0.38661355,0.039685234,-0.42959663,2.3734162,2.4130194,2.5322125,2.7517478,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.729512,2.5192938,2.4070477,-1.8448119,0.24813366,0.9072418,-14.27931
60,0.1741833202327584,0.17702256,-0.018473359,0.6908684,0.9982147,-0.004333742,0.059442885,0.003896986,0.16342211,-0.033867147,0.9290682,-0.39440006,-0.19451982,-0.4122007,2.6041503,2.612546,2.703403,2.8918405,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8426507,2.6768837,-1.2436283,0.49059582,0.77706504,-10.833145
65,0.03366102784672287,0.17329964,-0.017796151,0.6713669,0.9984365,-0.007974096,0.055320162,-0.0007740492,0.190474,-0.031218383,0.9561858,-0.286228,-0.28100064,-0.45392105,2.9752672,2.9458802,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.86466455,-3.5136776,0.7431046,25.28714
70,-0.10079198123685623,0.1690514,-0.017187215,0.651448,0.99850905,-0.006748048,0.054018453,-0.00401567,0.21236973,-0.027929882,0.95263344,0.37089673,0.11384547,-0.056846853,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0713005,-2.6808121,0.6811508,-39.47587
75,0.20778197675946192,0.16433209,-0.0166389,0.6314306,0.9983773,-0.00018434688,0.05689543,-0.0023619886,0.23660746,-0.025582584,0.97071105,0.51728874,0.2302614,-0.039855365,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.3543334,-1.282754,0.54493666,8.207142
80,-0.06031710132159884,0.15912117,-0.016104707,0.611282,0.99823314,0.005209139,0.05918909,-0.0003324156,0.25762975,-0.0258631,0.95088136,0.4829427,0.1586358,0.3023508,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.9405031,-2.186576,0.8304552,-35.576866
